request_offset, datanode, client_id, sending_time, attended_time, output_time
0, 2, 0, 0.0, 0.0, 1.000907
0, 8, 0, 0.0, 0.0, 0.999463
2048, 3, 1, 0.0, 0.0, 0.999769
4096, 5, 0, 1.000113, 1.000113, 2.000541
4096, 3, 0, 1.000113, 1.000113, 2.000058
2048, 2, 1, 0.0, 1.000907, 1.999108
1024, 7, 0, 1.000907, 1.000907, 2.000328
3072, 8, 1, 1.999108, 1.999108, 2.998877
3072, 7, 1, 1.999108, 2.000328, 2.998528
5120, 2, 0, 2.000542, 2.000541, 3.00097
1024, 5, 0, 1.000907, 2.000541, 3.000655
6144, 7, 1, 1.999233, 2.998528, 3.998957
5120, 8, 0, 2.000542, 2.998877, 3.998823
7168, 3, 1, 3.000488, 3.000488, 4.000916
6144, 5, 1, 1.999233, 3.000655, 4.000601
7168, 2, 1, 3.000488, 3.00097, 4.000916
8192, 8, 0, 2.999536, 3.998823, 4.999152
8192, 7, 0, 2.999536, 3.998957, 4.999033
9216, 5, 0, 3.999508, 4.000601, 5.00093
10240, 2, 1, 3.999482, 4.000916, 5.001245
9216, 3, 0, 3.999508, 4.000916, 5.000992
10240, 8, 1, 3.999482, 4.999152, 5.999228
11264, 7, 1, 4.999811, 4.999811, 6.000263
11264, 5, 1, 4.999811, 5.00093, 6.000889
12288, 3, 0, 4.000817, 5.000992, 6.001445
12288, 2, 0, 4.000817, 5.001245, 6.001204
13312, 8, 0, 5.99977, 5.99977, 7.000222
13312, 7, 0, 5.99977, 6.000263, 7.000223
14336, 5, 1, 5.000776, 6.000889, 7.001342
15360, 2, 1, 6.001229, 6.001229, 7.001532
14336, 3, 1, 5.000776, 6.001445, 7.001404
15360, 8, 1, 6.001229, 7.000222, 8.000151
16384, 7, 0, 6.000036, 7.000223, 8.000638
16384, 5, 0, 6.000036, 7.001342, 8.001392
17408, 3, 0, 7.001279, 7.001404, 8.00182
17408, 2, 0, 7.001279, 7.001532, 8.001583
18432, 8, 1, 7.000074, 8.000151, 9.000567
18432, 7, 1, 7.000074, 8.000638, 9.000689
19456, 5, 1, 8.000381, 8.001392, 9.001808
19456, 3, 1, 8.000381, 8.00182, 9.001871